course_id,course_semester,course_subject_id,course_name_ch,course_name_en,course_teacher,course_credit,course_begin_time,course_end_time,course_weekday,location_id,course_dept,course_type,general_category,central_general,course_maxnum
,,010110001,中級會計學（,Intermediate,黃金發,3.0,fri09-12 fri 09 10 11,,,資訊140306,會計系,必/Required,,否/No,
,,010111011,成本管理會計（,Cost and,王文英,3.0,thu13-16 thu 13 14 15,,,學思040202,會計系,必/Required,,否/No,
,,010113002,高級日語,Advanced Japanese,洪淑娟,2.0,tue16-18 tue 16 17,,,研究250206,日文系,選/Elective,,否/No,
,,010114002,國際公法,International Law,蔡沛倫,3.0,fri09-12 fri 09 10 11,,,綜合270209,外交系,必/Required,,否/No,
,,010116001,國際組織,International,李思嫺,3.0,tue10-13 tue 10 11 12,,,綜合270312,外交系,必/Required,,否/No,
,,010118001,中國外交史,Diplomatic History of,劉蕭翔,3.0,thu16-19 thu 16 17 18,,,綜合270305,外交系,群/Partially,,否/No,
,,010121001,韓語正音,Korean Pronunciation,彭玲林,1.0,wed12-14 wed 12 13,,,資訊140307,韓文系,必/Required,,否/No,
,,010122002,初級韓國語,Elementary Korean,彭玲林,3.0,tue13-16 tue 13 14 15,,,學思040306,韓文系,必/Required,,否/No,
,,010122012,初級韓國語,Elementary Korean,崔世勳,3.0,thu18-21 thu 18 19 20,,,研究250307,韓文系,必/Required,,否/No,
,,010122022,初級韓國語,Elementary Korean,崔世勳,3.0,wed18-21 wed 18 19 20,,,研究250305,韓文系,必/Required,,否/No,
,,010123002,中級韓國語,Intermediate Korean,崔峼熲,3.0,tue18-21 tue 18 19 20,,,研究250307,韓文系,必/Required,,否/No,
,,010123012,中級韓國語,Intermediate Korean,崔世勳,3.0,fri13-16 fri 13 14 15,,,研究250307,韓文系,必/Required,,否/No,
,,010123022,中級韓國語,Intermediate Korean,彭玲林,3.0,wed18-21 wed 18 19 20,,,研究250419,韓文系,必/Required,,否/No,
,,010126001,韓語語法（２）,Korean Grammar II,鄭乃瑋,2.0,thu19-21 thu 19 20,,,研究250305,韓文系,必/Required,,否/No,
,,010126011,韓語語法（２）,Korean Grammar II,彭玲林,2.0,wed14-16 wed 14 15,,,資訊140307,韓文系,必/Required,,否/No,
,,010126021,韓語語法（２）,Korean Grammar II,李榮敬,2.0,thu16-18 thu 16 17,,,研究250419,韓文系,必/Required,,否/No,
,,010130001,審計學（二）,Auditing(Ⅱ),江美艷,3.0,wed09-12 wed 09 10 11,,,逸仙050101,會計系,選/Elective,,否/No,
,,010131002,日語演習（一）,Studies in Japanese,許菁娟,1.0,mon16-18 mon 16 17,,,研究250206,日文系,必/Required,,否/No,
,,010131012,日語演習（一）,Studies in Japanese,劉碧惠,1.0,thu16-18 thu 16 17,,,資訊140308,日文系,必/Required,,否/No,
,,010131022,日語演習（一）,Studies in Japanese,施列庭,1.0,thu10-12 thu 10 11,,,綜合270212,日文系,必/Required,,否/No,
,,010131032,日語演習（一）,Studies in Japanese,黃金梅,1.0,thu13-15 thu 13 14,,,資訊140405,日文系,必/Required,,否/No,
,,010131042,日語演習（一）,Studies in Japanese,傅斯榆,1.0,wed12-14 wed 12 13,,,資訊140207,日文系,必/Required,,否/No,
,,010132012,日語演習（二）,Studies in Japanese,傅斯榆,1.0,thu10-12 thu 10 11,,,綜合270407,日文系,必/Required,,否/No,
,,010132022,日語演習（二）,Studies in Japanese,施列庭,1.0,thu13-15 thu 13 14,,,綜合270212,日文系,必/Required,,否/No,
,,010132032,日語演習（二）,Studies in Japanese,劉碧惠,1.0,wed10-12 wed 10 11,,,資訊140305,日文系,必/Required,,否/No,
,,010132042,日語演習（二）,Studies in Japanese,劉碧惠,1.0,fri14-16 fri 14 15,,,資訊140106,日文系,必/Required,,否/No,
,,010923002,高級韓國語,Advanced Korean,崔世勳,3.0,fri18-21 fri 18 19 20,,,研究250307,韓文系,選/Elective,,否/No,
,,010925001,商用日文書信２,Basics of Writing,劉碧惠,2.0,fri12-14 fri 12 13,,,資訊140106,日文系,選/Elective,,否/No,
,,010926002,韓語口語訓練（,Korean Oral Training,崔峼熲,3.0,wed18-21 wed 18 19 20,,,研究250309,韓文系,選/Elective,,否/No,
,,010927001,商用日語會話２,Japanese Business,許育惠,2.0,wed14-16 wed 14 15,,,資訊140207,日文系,選/Elective,,否/No,
,,031004011,國文－古典詩選,Readings of Classical,許東海,3.0,fri09-12 fri 09 10 11,,,,中文系,群/Partially,,否/No,
,,031004031,國文－古典詩選,Readings of Classical,賴位政,3.0,mon13-16 mon 13 14 15,,,百年330203,中文系,群/Partially,,否/No,
,,031004041,國文－古典詩選,Readings of Classical,賴位政,3.0,tue13-16 tue 13 14 15,,,綜合270205,中文系,群/Partially,,否/No,
,,031004051,國文－古典詩選,Readings of Classical,呂昭明,3.0,tue13-16 tue 13 14 15,,,研究250205,中文系,群/Partially,,否/No,
,,031004061,國文－古典詩選,Readings of Classical,林佑澤,3.0,mon13-16 mon 13 14 15,,,道藩320113,中文系,群/Partially,,否/No,
,,031004071,國文－古典詩選,Readings of Classical,林佑澤,3.0,tue13-16 tue 13 14 15,,,資訊140307,中文系,群/Partially,,否/No,
,,031007011,國文－古典散文,Chinese- Readings of,車行健,3.0,fri09-12 fri 09 10 11,,,研究250309,中文系,群/Partially,,否/No,
,,031007021,國文－古典散文,Chinese- Readings of,謝博霖,3.0,mon13-16 mon 13 14 15,,,季陶340414,中文系,群/Partially,,否/No,
,,031007031,國文－古典散文,Chinese- Readings of,謝博霖,3.0,fri09-12 fri 09 10 11,,,資訊140308,中文系,群/Partially,,否/No,
,,031008011,國文－古典小說,Readings of  Selected,蔡妙真,3.0,fri09-12 fri 09 10 11,,,綜合270105,中文系,群/Partially,,否/No,
,,031008021,國文－古典小說,Readings of  Selected,柯金木,3.0,fri09-12 fri 09 10 11,,,資訊140307,中文系,群/Partially,,否/No,
